polo,project_id,sector_name,serial,device_id,device_name,external_id
Conceição,170,Bussalfão UPC1,SM005119,7848,Innoliva 58,170/7848
Conceição,170,Bussalfão UPC3,SM005072,7844,Innoliva 54,170/7844
Conceição,170,Bussalfão UPC5,SM005064,7845,Innoliva 55,170/7845
Conceição,170,Herdade de Sousa UPC2 (Arbequina),SM005098,7841,Innoliva 51,170/7841
Conceição,170,Herdade de Sousa UPC3 (Arbequina),SM005101,7842,Innoliva 52,170/7842
Conceição,170,Herdade de Sousa UPC4 (Cobrançosa),SM005099,7840,Innoliva 50,170/7840
Conceição,170,Herdade de Sousa UPC5 (Picoal),SM005100,7843,Innoliva 53,170/7843
Conceição,170,Monte das Oliveiras,0020347E,575,Innoliva 15,170/575
Conceição,170,Monte das Oliveiras 1,SM005107,7847,Innoliva 57,170/7847
Conceição,170,Monte das Oliveiras 2,SM005115,7846,Innoliva 56,170/7846
Conceição,170,Monte das Oliveiras 3,SM005128,7920,Innoliva 75,170/7920
Conceição,170,Musgos,03110794,6938,Innoliva 18,170/6938
Conceição,170,Musgos 2 UPC3,SM005208,7886,Innoliva 66,170/7886
Covadonga,167,Carapetal C55 Sul,00203D0E,592,Innoliva 02,167/592
Covadonga,167,Carapetal Este UPC6,SM005067,7690,Innoliva 46,167/7690
Covadonga,167,Carapetal Este UPC7,SM005116,7689,Innoliva 45,167/7689
Covadonga,167,Carapetal Lagar C04 Sul,0020348A,584,Innoliva 01,167/584
Covadonga,167,Carapetal Oeste UPC4,SM005207,7901,Innoliva 71,167/7901
Covadonga,167,Carapetal Oeste UPC5,SM005201,7900,Innoliva 70,167/7900
Covadonga,167,Fontainhas F05 Norte,0020348B,585,Innoliva 03,167/585
Covadonga,167,Fontainhas S03 Ensaio Aquagri,0020359D,691,Fontainhas Ensaio Aquagri,167/691
Covadonga,167,Fontainhas S03 Ensaio Innoliva,00203595,692,Fontainhas Ensaio Innoliva,167/692
Covadonga,167,Fontainhas S1,SM005199,7899,Innoliva 69,167/7899
Covadonga,167,Fontainhas S2,SM005196,7904,Innoliva 73,167/7904
Covadonga,167,Fontainhas UPC2,SM005203,7902,Innoliva 72,167/7902
Covadonga,167,Pardieiro Novo,031107C3,6961,Innoliva 28,167/6961
Covadonga,167,Pardieiro P29 Norte,0020348D,586,Innoliva 04,167/586
Covadonga,167,Pardieiro UPC10,SM005202,7905,Innoliva 74,167/7905
Covadonga,167,Sargaçal,SM005069,7691,Innoliva 47,167/7691
Covadonga,167,Sargaçal 2,03110792,6962,Innoliva 29,167/6962
Fátima,168,Charnequinha,031107AD,6942,Innoliva 22,168/6942
Fátima,168,Gasparões,SM005080,7683,Innoliva 39,168/7683
Fátima,168,Lagoa,03110793,6943,Innoliva 23,168/6943
Fátima,168,Lagoa T1,SM005070,7687,Innoliva 43,168/7687
Fátima,168,Monte Espada UPC1,SM005198,7888,Innoliva 67,168/7888
Fátima,168,Montespada ME20 Sul,01204518,702,Innoliva 07,168/702
Fátima,168,Pedralva Nova,031107B6,6941,Innoliva 21,168/6941
Fátima,168,Pedralva Nova T1,SM005085,7684,Innoliva 40,168/7684
Fátima,168,Pedralva Nova T3,SM005094,7685,Innoliva 41,168/7685
Fátima,168,Pedralva P10 Norte,00203A34,593,Innoliva 09,168/593
